,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/05/2020 17:55:13,9.375,7.03125,4.6875,7.03125,7.03125,44,44,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.746104,1.76102161,0.0199242588,0.7568758,100.285767,65.2094,10.34536,5.51947,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:14,7.03125,4.6875,3.90625,7.03125,5.6640625,44,45,44,44,45,2106.001,2106.001,2106.001,2106.001,2.79905081,1.81724691,0.0100917872,0.7440125,100.285759,65.21055,10.3455429,5.519287,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:15,19.53125,19.53125,16.40625,28.90625,21.09375,45,46,44,46,47,2106.00122,2106.00122,2106.00122,2106.00122,5.514488,4.26577759,0.03062887,1.00613987,100.285767,65.27199,10.3552895,5.50954056,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:16,9.375,14.84375,5.46875,6.25,8.984375,44,45,45,45,46,2106.001,2106.001,2106.001,2106.001,3.391466,2.33825421,0.024630487,0.740009248,100.285759,65.26362,10.3539619,5.510868,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:17,10.9375,5.46875,5.46875,8.59375,7.6171875,44,46,44,45,45,2106.00049,2106.00049,2106.00049,2106.00049,2.90983367,1.93598354,0.0220841616,0.758775,100.285736,65.2620239,10.35371,5.51112,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:18,5.555558,4.16666269,2.777779,8.333331,5.20833731,44,45,44,44,45,2105.99927,2105.99927,2105.99927,2105.99927,2.95950961,1.85635483,0.0369256847,0.837856352,100.285683,65.26458,10.3541145,5.51071548,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:19,18.75,10.9375,13.28125,10.9375,13.4765625,44,44,44,45,45,2106.001,2106.001,2106.001,2106.001,4.284193,3.16457248,0.02622048,0.8232125,100.285767,65.26802,10.35466,5.51017,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:20,8.59375,6.25,11.71875,10.15625,9.1796875,44,45,44,44,45,2106.00049,2106.00049,2106.00049,2106.00049,3.51004648,2.43968868,0.011990428,0.824917257,100.285736,65.26845,10.3547287,5.51010132,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:21,10.9375,5.46875,7.03125,6.25,7.421875,44,46,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,3.04027081,2.02129269,0.0220126789,0.758392155,100.285767,65.27182,10.3552628,5.50956726,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:22,3.90625,5.46875,2.34375,3.125,3.7109375,44,44,43,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.75138831,1.76154029,0.0232028738,0.7372819,100.285751,65.2684,10.3547211,5.510109,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:23,6.25,5.46875,7.8125,10.15625,7.421875,44,45,44,43,45,2106.001,2106.001,2106.001,2106.001,3.20800948,2.19819617,0.01722561,0.8032284,100.285759,65.2744141,10.3556747,5.50915527,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:24,6.9711566,8.59375,6.983173,6.1899066,7.18449354,44,45,45,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.91494131,1.94040525,0.0274559911,0.7654949,100.285751,65.26533,10.3542328,5.510597,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:25,8.717757,4.6875,3.14980149,8.606148,6.29029846,45,45,45,44,46,2106.001,2106.001,2106.001,2106.001,2.96522284,1.91490042,0.03532144,0.8027043,100.285759,65.2616959,10.3536568,5.51117325,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
09/05/2020 17:55:26,7.8125,20.3125,6.25,12.5,11.71875,44,46,44,45,46,2106.00049,2106.00049,2106.00049,2106.00049,3.56916213,2.50726867,0.0226301122,0.788179755,100.285736,65.26131,10.3535957,5.51123428,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.83479
