,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/load/0,/atigpu/3/temperature/0,/atigpu/3/clock/0,/atigpu/3/clock/1,/atigpu/3/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
09/13/2021 17:55:06,7.8125,25,6.25,10.9375,12.5,2295.69458,2295.69458,2295.69458,2295.69458,199.62561,67.84473,4.72088242,2.23748016,0,0,20,0,39,302.02,747.769958,0,44,44.2916069
09/13/2021 17:55:07,9.375,21.875,10.9375,14.0625,14.0625,2295.68848,2295.68848,2295.68848,2295.68848,199.625076,67.82275,4.71935272,2.23900986,0,0,20,0,39,301.71,737.889954,0,44,44.2916069
09/13/2021 17:55:08,17.1875,28.125,28.125,17.1875,22.65625,2295.693,2295.693,2295.693,2295.693,199.625488,67.8607941,4.722,2.23636246,0,0,20,0,39,307.21,772.769958,0,44,44.2916069
09/13/2021 17:55:09,15.625,25,10.9375,20.3125,17.96875,2295.693,2295.693,2295.693,2295.693,199.625488,67.89237,4.72419739,2.23416519,0,0,20,0,39,303.389984,798.529968,0,44,44.2916069
09/13/2021 17:55:10,26.5625,23.4375,39.0625,25,28.515625,2295.69067,2295.69067,2295.69067,2295.69067,199.625275,67.91688,4.72590256,2.23246,0,0,20,0,39,304.35,841.57,0,44,44.2916069
09/13/2021 17:55:11,25,21.875,37.5,31.25,28.90625,2295.691,2295.691,2295.691,2295.691,199.62529,67.65982,4.70801544,2.25034714,0,0,20,0,39,302.35,868.63,0,44,44.2916069
09/13/2021 17:55:12,42.1875,76.5625,35.9375,40.625,48.828125,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,67.53006,4.698986,2.25937653,0,0,20,0,40,303,910.199951,0,44,44.2916069
09/13/2021 17:55:13,23.4375,46.875,28.125,39.0625,34.375,2295.69214,2295.69214,2295.69214,2295.69214,199.625412,67.8184738,4.719055,2.2393074,0,0,20,0,40,304.18,890.699951,0,44,44.2916069
09/13/2021 17:55:14,30.76923,43.07692,64.61538,32.30769,42.6923027,2295.69067,2295.69067,2295.69067,2295.69067,199.625259,67.79747,4.717594,2.24076843,0,0,20,0,40,304.34,917.649963,0,44,44.2916069
09/13/2021 17:55:15,46.875,64.0625,62.5,73.4375,61.71875,2295.69214,2295.69214,2295.69214,2295.69214,199.625412,67.7990646,4.717705,2.24065781,0,0,20,0,41.0000038,303.27,927.329956,0,44,44.2916069
09/13/2021 17:55:16,39.9999962,60.0000038,46.1538429,49.2307663,48.84615,2295.691,2295.691,2295.691,2295.691,199.6253,67.80915,4.71840668,2.239956,0,0,20,0,40,306.52,893.01,0,44,44.2916069
09/13/2021 17:55:17,17.1875,35.9375,18.75,29.6875,25.390625,2295.69238,2295.69238,2295.69238,2295.69238,199.625427,67.86074,4.72199631,2.23636627,0,0,20,0,40,303.18,869.29,0,44,44.2916069
09/13/2021 17:55:18,16.9230766,18.4615364,21.53846,24.6153831,20.38461,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,67.89418,4.72432327,2.23403931,0,0,20,0,39,303.82,815.57,0,44,44.2916069
09/13/2021 17:55:19,35.9375,28.125,28.125,26.5625,29.6875,2295.69214,2295.69214,2295.69214,2295.69214,199.6254,67.92784,4.7266655,2.231697,0,0,20,0,40,302.12,834.88,0,44,44.2916069
09/13/2021 17:55:20,43.75,50,34.375,50,44.53125,2295.6897,2295.6897,2295.6897,2295.6897,199.625183,67.86984,4.72262955,2.235733,0,0,20,0,40,307.22,806.889954,0,44,44.2916069
09/13/2021 17:55:21,34.375,34.375,31.25,35.9375,33.984375,2295.692,2295.692,2295.692,2295.692,199.6254,67.87889,4.723259,2.23510361,0,0,20,0,40,305.639984,832.269958,0,44,44.2916069
09/13/2021 17:55:22,60.9375,65.625,65.625,67.1875,64.84375,2295.69263,2295.69263,2295.69263,2295.69263,199.625458,67.8755951,4.72303,2.23533249,0,0,20,0,40,302.8,895.98,0,44,44.2916069
09/13/2021 17:55:23,45.3125,56.25,46.875,35.9375,46.09375,2295.69141,2295.69141,2295.69141,2295.69141,199.625351,67.8905,4.72406769,2.234295,0,0,20,0,40,306.32,864.139954,0,44,44.2916069
09/13/2021 17:55:24,21.875,31.25,18.75,26.5625,24.609375,2295.69141,2295.69141,2295.69141,2295.69141,199.625351,67.89198,4.72417068,2.234192,0,0,20,0,40,304.81,822.74,0,44,44.2916069
09/13/2021 17:55:25,25,31.25,25,21.875,25.78125,2295.69263,2295.69263,2295.69263,2295.69263,199.625443,67.88568,4.723732,2.23463058,0,0,20,0,39,306.039978,766.829956,0,44,44.2916069
09/13/2021 17:55:26,29.2307682,49.2307663,32.30769,30.76923,35.384613,2295.69,2295.69,2295.69,2295.69,199.6252,67.90717,4.72522736,2.23313522,0,0,20,0,39,304.9,735.16,0,44,44.2916069
09/13/2021 17:55:27,51.5625,54.6875,48.4375,51.5625,51.5625,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,67.72687,4.712681,2.24568176,0,0,20,0,40,317.3,798.42,1,44,44.2916069
09/13/2021 17:55:28,42.85714,52.3809547,44.4444427,55.5555573,48.80952,2295.693,2295.693,2295.693,2295.693,199.625473,67.6687,4.70863342,2.24972916,0,0,20,0,40,309.37,829.76,0,44,44.2916069
09/13/2021 17:55:29,50,65.625,60.9375,62.5,59.765625,2295.69238,2295.69238,2295.69238,2295.69238,199.625427,67.66815,4.70859528,2.2497673,0,0,20,0,41.0000038,321.789978,836.74,1,44,44.2916069
09/13/2021 17:55:30,85.9375,79.6875,73.4375,75,78.515625,2295.6897,2295.6897,2295.6897,2295.6897,199.6252,67.65352,4.70757675,2.25078583,0,0,20,0,41.0000038,332.66,845.35,2,44,44.2916069
09/13/2021 17:55:31,67.1875,59.375,64.0625,70.3125,65.234375,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,67.6565247,4.70778656,2.250576,0,0,20,0,41.0000038,332.75,847.13,2,44,44.2916069
09/13/2021 17:55:32,75,65.625,67.1875,76.5625,71.09375,2295.69214,2295.69214,2295.69214,2295.69214,199.6254,67.68383,4.70968628,2.2486763,0,0,20,0,41.0000038,332.24,899.8,2,44,44.29431
09/13/2021 17:55:33,68.75,70.3125,78.125,67.1875,71.09375,1796.62817,1796.62817,1796.62817,1796.62817,199.625351,67.7853546,4.716751,2.24161148,0,0,20,0,41.0000038,377.97,919.41,5,44,44.29431
09/13/2021 17:55:34,96.875,92.1875,95.3125,95.3125,94.921875,2295.69214,2295.69214,2295.69214,2295.69214,199.6254,67.98941,4.7309494,2.22741318,0,0,20,0,42.0000038,389.9,927.959961,7,44,44.29431
09/13/2021 17:55:35,92.1875,95.3125,95.3125,90.625,93.359375,2295.691,2295.691,2295.691,2295.691,199.6253,68.12838,4.74061966,2.217743,0,0,20,0,42.0000038,408.289978,931.18,12,44,44.29431
09/13/2021 17:55:36,100,98.4375,100,100,99.609375,1796.62854,1796.62854,1796.62854,1796.62854,199.625381,68.10585,4.739052,2.21931076,0,0,20,0,41.0000038,423.93,932.29,15,44,44.29431
09/13/2021 17:55:37,100,100,100,100,100,1796.62769,2295.691,2295.691,1796.62769,199.62529,68.09231,4.73810959,2.220253,0,0,20,0,41.0000038,420.61,932.72,14,44,44.29431
09/13/2021 17:55:38,90.625,90.625,89.0625,85.9375,89.0625,2295.69141,2295.69141,2295.69141,2295.69141,199.625336,68.16281,4.74301529,2.21534729,0,0,20,0,41.0000038,408.09,892.029968,13,44,44.29431
09/13/2021 17:55:39,85.9375,82.8125,84.375,85.9375,84.765625,1796.62817,1796.62817,1796.62817,1796.62817,199.625351,68.23665,4.74815369,2.210209,0,0,20,0,41.0000038,407.699982,850.16,12,44,44.29431
09/13/2021 17:55:40,82.8125,82.8125,93.75,84.375,85.9375,2295.69116,2295.69116,2295.69116,2295.69116,199.62532,68.21982,4.74698257,2.21138,0,0,20,0,42.0000038,408.3,880.79,12,44,44.29431
09/13/2021 17:55:41,83.07693,80,75.38461,80,79.61539,2295.692,2295.692,2295.692,2295.692,199.625381,68.26056,4.749817,2.20854568,0,0,20,0,42.0000038,401.97,897.68,12,44,44.29431
09/13/2021 17:55:42,88.88889,90.47619,93.650795,93.650795,91.66667,2295.69165,2295.69165,2295.69165,2295.69165,199.625351,68.2153244,4.74667,2.21169281,0,0,20,0,42.0000038,400.389984,919.94,11,44,44.29431
09/13/2021 17:55:43,82.8125,85.9375,84.375,85.9375,84.765625,2295.69263,2295.69263,2295.69263,2295.69263,199.625458,68.2946548,4.75218964,2.206173,0,0,20,0,42.0000038,401.41,926.29,12,44,44.29431
09/13/2021 17:55:44,51.5625,50,60.9375,53.125,53.90625,2295.69043,2295.69043,2295.69043,2295.69043,199.625244,68.29049,4.75189972,2.20646286,0,0,20,0,42.0000038,399.09,872.04,12,44,44.29431
09/13/2021 17:55:45,67.1875,60.9375,64.0625,67.1875,64.84375,2295.69165,2295.69165,2295.69165,2295.69165,199.625366,68.23901,4.74831772,2.21004486,0,0,20,0,42.0000038,402.08,851.92,12,44,44.29431
09/13/2021 17:55:46,70.3125,70.3125,59.375,73.4375,68.359375,2295.69067,2295.69067,2295.69067,2295.69067,199.625275,68.22777,4.74753571,2.21082687,0,0,20,0,42.0000038,400.25,843.19,12,44,44.29431
09/13/2021 17:55:47,68.75,70.3125,78.125,67.1875,71.09375,2295.69,2295.69,2295.69,2295.69,199.625214,68.27585,4.750881,2.20748138,0,0,20,0,42.0000038,399.27,831.76,12,44,44.29431
09/13/2021 17:55:48,62.5,71.875,67.1875,64.0625,66.40625,2295.69385,2295.69385,2295.69385,2295.69385,199.625549,68.2954254,4.752243,2.20611954,0,0,20,0,42.0000038,400.28,852.37,12,44,44.29431
09/13/2021 17:55:49,71.21213,75.757576,65.15151,77.27273,72.34849,2295.69214,2295.69214,2295.69214,2295.69214,199.6254,68.2872,4.751671,2.20669174,0,0,20,0,42.0000038,402.03,899.779968,12,44,44.29431
09/13/2021 17:55:50,69.3548355,77.41935,74.19355,77.41935,74.59677,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,67.70691,4.71129227,2.24707031,0,0,20,0,42.0000038,402.52,918.3,12,44,44.29431
09/13/2021 17:55:51,65.625,73.4375,70.3125,67.1875,69.140625,2295.6936,2295.6936,2295.6936,2295.6936,199.625534,67.65543,4.70771027,2.25065231,0,0,20,0,42.0000038,401.139984,878.57,12,44,44.29431
09/13/2021 17:55:52,78.125,79.6875,78.125,84.375,80.078125,2295.691,1796.62769,2295.691,2295.691,199.6253,67.68964,4.71009064,2.248272,0,0,20,0,42.0000038,396.41,913.029968,11,44,44.29431
09/13/2021 17:55:53,70.3125,75,71.875,71.875,72.265625,2295.691,2295.691,2295.691,2295.691,199.62529,67.72215,4.71235275,2.24600983,0,0,20,0,42.0000038,400.61,918.57,12,44,44.29431
09/13/2021 17:55:54,70.3125,65.625,67.1875,65.625,67.1875,2295.69165,2295.69165,2295.69165,2295.69165,199.625351,67.69879,4.71072769,2.247635,0,0,20,0,42.0000038,399.72,878.019958,12,44,44.29431
09/13/2021 17:55:55,85.9375,87.5,84.375,87.5,86.328125,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,67.69524,4.71047974,2.24788284,0,0,20,0,42.0000038,396.94,901.04,12,44,44.29431
09/13/2021 17:55:56,89.0625,89.0625,84.375,85.9375,87.109375,2295.69287,2295.69287,2295.69287,2295.69287,199.625473,67.80449,4.71808243,2.24028015,0,0,20,0,42.0000038,397.759979,883.62,12,44,44.29431
09/13/2021 17:55:57,100,98.4375,100,100,99.609375,1796.62842,1796.62842,1796.62842,1796.62842,199.625381,67.6792755,4.70936966,2.248993,0,0,20,0,42.0000038,396.8,914.66,11,44,44.29431
09/13/2021 17:55:58,100,100,100,100,100,1796.62793,1796.62793,1796.62793,1796.62793,199.62532,67.6905746,4.71015549,2.248207,0,0,20,0,42.0000038,401.919983,926.19,12,44,44.29431
09/13/2021 17:55:59,100,100,100,100,100,2295.69214,1796.62854,1397.37781,1796.62854,199.6254,67.74704,4.71408463,2.244278,0,0,20,0,42.0000038,400.789978,930.54,11,44,44.29431
09/13/2021 17:56:00,91.9354858,100,95.1612854,96.7742,95.96774,1796.62781,1796.62781,1796.62781,1796.62781,199.6253,67.86293,4.722149,2.23621368,0,0,20,0,42.0000038,402.169983,932.079956,12,44,44.29431
09/13/2021 17:56:01,98.4375,98.4375,100,100,99.21875,2295.69141,2295.69141,2295.69141,2295.69141,199.625336,67.83541,4.720234,2.23812866,0,0,20,0,42.0000038,400.72,932.63,11,44,44.29431
09/13/2021 17:56:02,96.875,98.4375,98.4375,98.4375,98.046875,1796.62842,1796.62842,1796.62842,2295.692,199.625381,67.90433,4.725029,2.23333359,0,0,20,0,42.0000038,398.449982,932.86,11,44,44.2954369
09/13/2021 17:56:03,98.4375,98.4375,100,100,99.21875,2295.692,2295.692,2295.692,2295.692,199.625381,68.13227,4.7408905,2.217472,0,0,20,0,43.0000038,401.31,932.94,11,44,44.2954369
09/13/2021 17:56:04,87.5,90.625,89.0625,100,91.796875,2295.69214,2295.69214,2295.69214,2295.69214,199.6254,68.04231,4.73463058,2.223732,0,0,20,0,43.0000038,401.85,932.94,12,44,44.2954369
09/13/2021 17:56:05,82.0895538,88.0597,85.07463,71.64179,81.7164154,1796.62744,1796.62744,1796.62744,1796.62744,199.625259,67.95942,4.728863,2.22949982,0,0,20,0,43.0000038,396.08,932.94,11,44,44.2954369
09/13/2021 17:56:06,88.70968,80.6451645,77.41935,72.58065,79.8387146,2295.69116,2295.69116,2295.69116,2295.69116,199.62532,67.98283,4.73049164,2.227871,0,0,20,0,42.0000038,398.24,927.99,12,44,44.2954369
09/13/2021 17:56:07,60.9375,68.75,64.0625,65.625,64.84375,2295.69238,2295.69238,2295.69238,2295.69238,199.625427,68.01248,4.73255539,2.22580719,0,0,20,0,42.0000038,398.94,902.399963,11,44,44.2954369
09/13/2021 17:56:08,60.9375,71.875,59.375,67.1875,64.84375,2295.69043,2295.69043,2295.69043,2295.69043,199.625244,68.03414,4.734062,2.22430038,0,0,20,0,42.0000038,404.199982,862.72,12,44,44.2954369
09/13/2021 17:56:09,64.0625,75,59.375,67.1875,66.40625,2295.69,2295.69,2295.69,2295.69,199.625214,68.01523,4.732746,2.22561646,0,0,20,0,42.0000038,406.31,853.93,12,44,44.2954369
09/13/2021 17:56:10,64.0625,56.25,56.25,64.0625,60.15625,2295.694,2295.694,2295.694,2295.694,199.62558,68.07416,4.736847,2.22151566,0,0,20,0,42.0000038,399.65,843.269958,12,44,44.2954369
09/13/2021 17:56:11,63.0769272,58.4615364,66.15385,58.4615364,61.53846,2295.69019,2295.69019,2295.69019,2295.69019,199.625244,68.10645,4.739094,2.2192688,0,0,20,0,42.0000038,399.09,851,11,44,44.2954369
09/13/2021 17:56:12,76.5625,78.125,82.8125,73.4375,77.734375,2295.692,1796.62842,1796.62842,1796.62842,199.625381,68.1136856,4.73959732,2.21876526,0,0,20,0,42.0000038,398.43,899.54,12,44,44.2954369
09/13/2021 17:56:13,85.9375,87.5,79.6875,73.4375,81.640625,2295.69263,2295.69263,2295.69263,2295.69263,199.625458,68.12778,4.7405777,2.217785,0,0,20,0,42.0000038,403.22,870.589966,12,44,44.2954369
09/13/2021 17:56:14,64.0625,53.125,56.25,71.875,61.328125,2295.69165,2295.69165,2295.69165,2295.69165,199.625351,68.1868744,4.74469,2.21367264,0,0,20,0,42.0000038,401.13,859.519958,12,44,44.2954369
09/13/2021 17:56:15,85.9375,82.8125,79.6875,79.6875,82.03125,2295.69,2295.69,2295.69,2295.69,199.6252,68.22744,4.747513,2.21084976,0,0,20,0,43.0000038,402.03,868.829956,12,44,44.2954369
09/13/2021 17:56:16,75,68.75,70.3125,76.5625,72.65625,2295.69116,2295.69116,2295.69116,2295.69116,199.6253,68.21938,4.746952,2.21141052,0,0,20,0,43.0000038,402.759979,895.19,12,44,44.2954369
09/13/2021 17:56:17,84.375,89.0625,79.6875,85.9375,84.765625,2295.69336,2295.69336,2295.69336,2295.69336,199.6255,68.23506,4.748043,2.21031952,0,0,20,0,43.0000038,399.139984,917.63,12,44,44.2954369
09/13/2021 17:56:18,69.2307739,70.7692261,63.0769272,78.46154,70.38461,2295.69116,2295.69116,2295.69116,2295.69116,199.62532,68.17366,4.7437706,2.214592,0,0,20,0,43.0000038,397.699982,881.519958,12,44,44.2954369
09/13/2021 17:56:19,71.875,76.5625,79.6875,78.125,76.5625,2295.69165,2295.69165,2295.69165,2295.69165,199.625351,68.1482239,4.74200058,2.216362,0,0,20,0,43.0000038,403.91,875.139954,12,44,44.2954369
09/13/2021 17:56:20,70.3125,71.875,68.75,78.125,72.265625,2295.69141,2295.69141,2295.69141,2295.69141,199.625351,68.22613,4.74742126,2.21094131,0,0,20,0,43.0000038,401.06,863.91,12,44,44.2954369
09/13/2021 17:56:21,66.6666641,68.1818161,75.757576,72.72727,70.8333359,2295.692,2295.692,2295.692,2295.692,199.625381,68.2338,4.74795532,2.21040726,0,0,20,0,43.0000038,397.24,874.41,11,44,44.2954369
09/13/2021 17:56:22,88.88889,84.12698,87.30159,88.88889,87.30159,1796.62842,1796.62842,1796.62842,1796.62842,199.625381,68.37141,4.75753,2.20083237,0,0,20,0,43.0000038,398.509979,911.22,11,44,44.2954369
09/13/2021 17:56:23,84.375,82.8125,89.0625,90.625,86.71875,2295.69043,2295.69043,2295.69043,2295.69043,199.625259,68.68668,4.77946854,2.178894,0,0,20,0,43.0000038,397.47998,925,12,44,44.2954369
