,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/3/temperature/0,/atigpu/3/clock/0,/atigpu/3/clock/1,/atigpu/3/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
09/14/2021 10:42:04,59.375,53.125,62.5,75,62.5,1796.627,1796.627,1796.627,1796.627,199.625214,69.85741,4.8609314,2.09743118,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,8,40,44.3012428
09/14/2021 10:42:05,40.625,43.75,32.8125,51.5625,42.1875,1796.62891,1796.62891,1796.62891,1796.62891,199.625427,69.85077,4.86047,2.09789276,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,10,40,44.3012428
09/14/2021 10:42:06,54.6875,46.875,34.375,48.4375,46.09375,1796.62744,1796.62744,1796.62744,1796.62744,199.625275,69.8613,4.86120224,2.09716034,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,9,40,44.3012428
09/14/2021 10:42:07,56.25,59.375,39.0625,51.5625,51.5625,1796.62964,1796.62964,1796.62964,1796.62964,199.6255,69.85581,4.860821,2.09754181,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,7,40,44.3012428
09/14/2021 10:42:08,27.6923065,21.53846,24.6153831,30.76923,26.1538448,1796.62756,1796.62756,1796.62756,1796.62756,199.62529,69.89545,4.863579,2.09478378,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,5,40,44.3012428
09/14/2021 10:42:09,35.9375,35.9375,25,37.5,33.59375,1796.62769,1796.62769,1796.62769,1796.62769,199.6253,69.93081,4.86603928,2.0923233,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,5,40,44.3012428
09/14/2021 10:42:10,30.76923,23.0769215,19.9999981,36.9230728,27.6923065,1796.62781,1796.62781,1796.62781,1796.62781,199.6253,69.96228,4.868229,2.09013367,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,4,40,44.3012428
09/14/2021 10:42:11,48.3146057,44.94382,40.44944,55.05618,47.1910133,1796.63025,1796.63025,1796.63025,1796.63025,199.62558,69.939415,4.866638,2.0917244,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,6,40,44.3012428
09/14/2021 10:42:12,53.8461571,43.58974,35.8974342,38.4615364,42.9487152,1796.626,1796.626,1796.626,1796.626,199.6251,69.9917755,4.870281,2.08808136,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,6,40,44.3012428
09/14/2021 10:42:13,78.125,71.875,76.5625,84.375,77.734375,1796.62793,1796.62793,1796.62793,1796.62793,199.62532,70.00915,4.87149048,2.086872,51.0000038,214,300,0.700000048,0,39,300.009979,666.06,5,40,44.3012428
