,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/3/temperature/0,/atigpu/3/clock/0,/atigpu/3/clock/1,/atigpu/3/load/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Memory","GPU Core","Temperature","Used Space"
09/18/2021 22:03:22,28.125,20.3125,15.625,37.5,25.390625,2295.69727,2295.69727,2295.69727,2295.69727,199.625839,46.5985565,3.24249649,3.715866,0,,,,0,0,20,41.0000038,308.07,793.68,1,43,44.7713432
09/18/2021 22:03:23,17.1875,20.3125,17.1875,18.75,18.359375,2295.69556,2295.69556,2295.69556,2295.69556,199.625687,46.5829849,3.241413,3.71694946,0,,,,0,0,20,41.0000038,304.13,774.79,0,43,44.7713432
09/18/2021 22:03:24,6.25,4.6875,12.5,23.4375,11.71875,1796.63184,1796.63184,1796.63184,2295.69629,199.625763,46.6205368,3.24402618,3.7143364,0,,,,0,0,20,40,302.75,722.95,0,43,44.7713432
09/18/2021 22:03:25,9.375,6.25,7.8125,6.25,7.421875,2295.697,2295.697,2295.697,2295.697,199.625824,46.6238251,3.244255,3.71410751,0,,,,0,0,20,39,302.24,698.68,0,43,44.7713432
09/18/2021 22:03:26,15.625,10.9375,34.375,23.4375,21.09375,2295.69629,2295.69629,2295.69629,2295.69629,199.625763,46.5951,3.24225616,3.71610641,0,,,,0,0,20,40,302.11,750.66,0,43,44.7713432
09/18/2021 22:03:27,42.1875,32.8125,62.5,57.8125,48.828125,2295.696,2295.696,2295.696,2295.696,199.625748,46.11366,3.20875549,3.749607,0,,,,0,0,20,41.0000038,302.09,866.199951,0,43,44.7713432
09/18/2021 22:03:28,28.125,32.8125,25,35.9375,30.46875,2295.69458,2295.69458,2295.69458,2295.69458,199.62561,45.9923935,3.20031738,3.7580452,0,,,,0,0,20,41.0000038,301.87,832.449951,0,43,44.7713432
09/18/2021 22:03:29,57.8125,51.5625,57.8125,57.8125,56.25,2295.697,2295.697,2295.697,2295.697,199.625824,45.79613,3.18666077,3.77170181,0,,,,0,0,20,41.0000038,301.77,863.24,0,43,44.7713432
09/18/2021 22:03:30,60.9375,50,57.8125,54.6875,55.859375,2295.69434,2295.69434,2295.69434,2295.69434,199.6256,45.81192,3.1877594,3.77060318,0,,,,0,0,20,42.0000038,301.72998,822.97,0,43,44.7713432
09/18/2021 22:03:31,14.0625,9.375,20.3125,23.4375,16.796875,2295.696,2295.696,2295.696,2295.696,199.625748,45.80951,3.18759155,3.770771,0,,,,0,0,20,40,301.75,753.98,0,43,44.7713432
09/18/2021 22:03:32,65.625,65.625,67.1875,65.625,66.015625,2295.69,2295.69,2295.69,2295.69,199.625214,45.80079,3.186985,3.77137756,0,,,,0,0,20,41.0000038,326.139984,823.43,2,43,44.7713432
09/18/2021 22:03:33,90.625,90.625,90.625,93.75,91.40625,1397.385,1796.63782,1796.63782,1796.63782,199.626434,45.7885628,3.18613434,3.77222824,0,,,,0,0,20,42.0000038,353.86,892.37,4,43,44.7713432
09/18/2021 22:03:34,90.625,82.8125,85.9375,82.8125,85.546875,2295.69482,2295.69482,2295.69482,2295.69482,199.625641,45.89859,3.19379044,3.76457214,0,,,,0,0,20,42.0000038,368.31,918.12,6,43,44.7713432
09/18/2021 22:03:35,78.125,67.1875,64.0625,67.1875,69.140625,1796.63293,1796.63293,2295.69751,2295.69751,199.625885,45.9772644,3.19926453,3.759098,0,,,,0,0,20,42.0000038,387.47998,911.68,10,43,44.7713432
09/18/2021 22:03:36,48.4375,28.125,18.75,21.875,29.296875,1397.379,1397.379,1397.379,1397.379,199.625565,45.9746857,3.19908524,3.75927734,0,,,,0,0,20,41.0000038,337.85,770.94,4,43,44.7713432
09/18/2021 22:03:37,29.6875,12.5,7.8125,20.3125,17.578125,2295.698,2295.698,2295.698,2295.698,199.625916,45.90199,3.194027,3.76433563,0,,,,0,0,20,40,315.84,746.11,1,43,44.7713432
09/18/2021 22:03:38,28.125,17.1875,18.75,21.875,21.484375,2295.694,2295.694,2295.694,2295.694,199.62558,45.78314,3.18575668,3.772606,0,,,,0,0,20,40,307.34,779.829956,0,43,44.7713432
09/18/2021 22:03:39,25,9.375,10.9375,14.0625,14.84375,2295.69629,2295.69629,2295.69629,2295.69629,199.625763,45.7493668,3.18340683,3.77495575,0,,,,0,0,20,40,304.13,741.1,0,43,44.7713432
09/18/2021 22:03:40,12.3076916,12.3076916,6.153846,7.69230747,9.615385,2295.69727,2295.69727,2295.69727,2295.69727,199.625839,45.61588,3.174118,3.78424454,0,,,,0,0,20,39,302.75,728.37,0,43,44.7713432
09/18/2021 22:03:41,28.125,10.9375,18.75,26.5625,21.09375,2295.6958,2295.6958,2295.6958,2295.6958,199.625732,45.6831436,3.17879868,3.779564,0,,,,0,0,20,39,304.57,726.74,0,43,44.7713432
09/18/2021 22:03:42,9.375,9.375,9.375,10.9375,9.765625,2295.69434,2295.69434,2295.69434,2295.69434,199.6256,45.64488,3.176136,3.78222656,0,,,,0,0,20,39,302.93,700.459961,0,43,44.7713432
09/18/2021 22:03:43,7.8125,4.6875,3.125,10.9375,6.640625,2295.66968,2295.66968,2295.66968,2295.66968,199.623459,45.6710243,3.17795563,3.780407,0,,,,0,0,20,39,302.35,691.279968,0,43,44.7713432
09/18/2021 22:03:44,48.4375,17.1875,20.3125,34.375,30.078125,2295.723,2295.723,2295.723,2295.723,199.628082,44.72787,3.11232758,3.846035,0,,,,0,0,20,39,323.8,757.1,2,43,44.7713432
09/18/2021 22:03:45,21.875,12.5,17.1875,20.3125,17.96875,2295.69434,2295.69434,2295.69434,2295.69434,199.6256,44.74958,3.1138382,3.84452438,0,,,,0,0,20,39,312.96,735.779968,1,43,44.7713432
